x,y,yaw
298551.287,4137857.544,2.476743
298551.130,4137857.667,2.476592
298550.972,4137857.791,2.476485
298550.815,4137857.914,2.476423
298550.658,4137858.037,2.476400
298550.500,4137858.161,2.476388
298550.343,4137858.284,2.476382
298550.186,4137858.408,2.476383
298550.028,4137858.531,2.476390
298549.871,4137858.655,2.476404
298549.714,4137858.778,2.476424
298549.556,4137858.902,2.476450
298549.399,4137859.025,2.476481
298549.242,4137859.148,2.476506
298549.084,4137859.272,2.476525
298548.927,4137859.395,2.476538
298548.769,4137859.519,2.476545
298548.612,4137859.642,2.476545
298548.455,4137859.765,2.476539
298548.297,4137859.889,2.476526
298548.140,4137860.012,2.476507
298547.983,4137860.136,2.476482
298547.825,4137860.259,2.476451
298547.668,4137860.383,2.476413
298547.511,4137860.506,2.476369
298547.353,4137860.629,2.476319
298547.196,4137860.753,2.476262
298547.039,4137860.876,2.476204
298546.881,4137861.000,2.476162
298546.724,4137861.123,2.476137
298546.567,4137861.247,2.476128
298546.409,4137861.370,2.476137
298546.252,4137861.494,2.476163
298546.095,4137861.617,2.476206
298545.937,4137861.741,2.476266
298545.780,4137861.864,2.476342
298545.623,4137861.988,2.476436
298545.465,4137862.111,2.476547
298545.308,4137862.234,2.476675
298545.150,4137862.358,2.476820
298544.993,4137862.481,2.476958
298544.836,4137862.605,2.476921
298544.678,4137862.728,2.476743
298544.521,4137862.851,2.476578
298544.363,4137862.975,2.476433
298544.206,4137863.098,2.476308
298544.049,4137863.222,2.476203
298543.891,4137863.345,2.476118
298543.734,4137863.469,2.476054
298543.577,4137863.592,2.476009
298543.420,4137863.716,2.475984
298543.262,4137863.839,2.475979
298543.105,4137863.963,2.475995
298542.948,4137864.086,2.476030
298542.790,4137864.210,2.476085
298542.633,4137864.333,2.476161
298542.476,4137864.456,2.476256
298542.318,4137864.580,2.476361
298542.161,4137864.703,2.476454
298542.004,4137864.827,2.476537
298541.846,4137864.950,2.476607
298541.689,4137865.074,2.476667
298541.531,4137865.197,2.476714
298541.374,4137865.320,2.476751
298541.217,4137865.444,2.476775
298541.059,4137865.567,2.476788
298540.902,4137865.691,2.476790
298540.744,4137865.814,2.476780
298540.587,4137865.937,2.476759
